Район,Тип,Дата и время  пожара 
Большесосновский МО ,Пожар с гибелью 2-х и более человек ,2015-02-08 04:48:00
ГО город Березники ,Аварии на коммунальных системах жизнеобеспечения Газоснабжение,2015-02-08 07:10:00
Бардымский МО ,Пожар с гибелью 2-х и более человек ,2015-02-08 09:45:00
Верещагинский ГО,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-02-08 14:10:00
Краснокамский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-02-08 17:45:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-02-09 12:10:00
Кишертский МО,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-02-09 13:45:00
Губахинский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-02-09 17:20:00
Чернушинский ГО ,Аварии на электроэнергетических системах ,2015-02-10 09:20:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-02-11 19:30:00
Пермский МО ,Пожар с гибелью 2-х и более человек ,2015-02-12 02:10:00
Чернушинский ГО ,Аварии на электроэнергетических системах ,2015-02-12 16:35:00
Кишертский МО,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-02-12 17:35:00
Краснокамский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-02-12 22:00:00
Березовский МО ,Особо опасные болезни сельскохозяйственных животных ,2015-02-13 00:00:00
Бардымский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-02-13 01:20:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-02-13 08:10:00
Кишертский МО,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-02-13 08:30:00
Уинский МО ,Аварии на электроэнергетических системах ,2015-02-13 12:00:00
Карагайский МО ,Аварии на электроэнергетических системах ,2015-02-13 17:00:00
Сивинский МО,Аварии на электроэнергетических системах ,2015-02-13 18:18:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-02-15 10:56:00
Чердынский ГО,Перерыв в движении на главных магистралей ,2015-02-17 11:00:00
Уинский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-02-18 10:50:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-02-18 23:30:00
Лысьвенский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2015-02-19 09:35:00
ГО город Березники ,Аварии на электроэнергетических системах ,2015-02-19 09:40:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-02-19 23:29:00
Соликамский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-02-20 17:45:00
Оханский ГО ,Аварии на электроэнергетических системах ,2015-02-20 21:40:00
Оханский ГО ,Аварии на электроэнергетических системах ,2015-02-20 23:02:00
Александровский МО ,Пожары повышенного номера ,2015-02-21 01:10:00
Губахинский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-02-21 09:50:00
Красновишерский ГО ,Аварии на электроэнергетических системах ,2015-02-22 02:40:00
Гайнский МО,Аварии на электроэнергетических системах ,2015-02-22 06:35:00
Пермский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-02-22 17:20:00
Соликамский ГО ,Аварии на электроэнергетических системах ,2015-02-23 08:05:00
Бардымский МО ,Аварии на электроэнергетических системах ,2015-02-24 09:30:00
Гайнский МО,Аварии на электроэнергетических системах ,2015-02-24 10:00:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-02-25 09:20:00
Гайнский МО,Аварии на электроэнергетических системах ,2015-02-25 09:30:00
Горнозаводский ГО ,Крушение поезда ,2015-02-25 11:40:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2015-02-25 14:20:00
Красновишерский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2015-02-25 21:05:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-02-26 05:20:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-02-28 10:55:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2015-03-01 07:10:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-03-01 13:40:00
ГО город Кизел ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-03-02 11:00:00
Юрлинский МО ,Аварии на электроэнергетических системах ,2015-03-02 12:00:00
Бардымский МО ,Аварии на электроэнергетических системах ,2015-03-02 22:40:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-03-03 15:30:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-03-04 06:00:00
Юсьвинский МО ,Аварии на электроэнергетических системах ,2015-03-04 12:10:00
Пермский ГО ,"Обнаружение неразорвавшихся боеприпасов, взрывчатых веществ ",2015-03-05 17:35:00
