Район,Тип,Дата и время  пожара 
Чусовской ГО ,"Зажор, затор, дождевой паводок ",2016-04-14 17:00:00
Кудымкарский МО ,Половодье ,2016-04-15 18:00:00
Березовский МО ,Половодье ,2016-04-16 13:40:00
Пермский МО ,Половодье ,2016-04-17 11:50:00
Карагайский МО ,Половодье ,2016-04-17 21:00:00
Уинский МО ,Половодье ,2016-04-17 21:00:00
Чусовской ГО ,"Карстовая просадка (провал) земной поверхности, просадка лессовых пород ",2016-04-17 21:00:00
Кудымкарский МО ,Половодье ,2016-04-17 21:00:00
Юрлинский МО ,Половодье ,2016-04-18 00:00:00
Кунгурский МО ,Половодье ,2016-04-19 08:00:00
Кишертский МО,Половодье ,2016-04-19 20:35:00
Гайнский МО,Половодье ,2016-04-19 20:50:00
Юсьвинский МО ,Половодье ,2016-04-20 00:00:00
Кунгурский МО ,Пожар с гибелью 2-х и более человек ,2016-04-20 17:57:00
Чусовской ГО ,Половодье ,2016-04-21 02:23:00
Добрянский ГО ,Пожары повышенного номера ,2016-04-21 18:10:00
Косинский МО,Половодье ,2016-04-21 20:30:00
Чернушинский ГО ,Половодье ,2016-04-21 22:00:00
Краснокамский ГО ,Половодье ,2016-04-21 22:30:00
